,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
93,Data Scientist,General Dynamics,103500.0,Atlanta,GA,"['Bachelor of Science', ""Master's degree"", ""Bachelor's degree""]","['Microsoft Powerpoint', 'Power BI', 'Microsoft Excel', 'Statistics', 'SAS', 'Writing skills', 'R', 'Data analysis skills', 'Tableau', 'Stata', 'SQL', 'Analysis skills', 'Machine learning', 'Data management', 'Scripting', 'Data collection', 'Data visualization', 'Python']",['Communication skills'],[]
94,Data Scientist,General Dynamics Information Technology,85000.0,Remote,Remote,"[""Bachelor's degree""]","['Power BI', 'Economics', 'SAS', 'Mathematics', 'SQL', 'Data management']",['Communication skills'],[]
95,Data Scientist,Guidehouse,111000.0,Atlanta,GA,"['Bachelor of Science', ""Master's degree"", ""Bachelor's degree"", 'Master of Science', 'Master of Arts', 'Bachelor of Arts']","['Power BI', 'Microsoft Excel', 'Kubernetes', 'SAS', 'R', 'Git', 'SQL', 'Docker', 'Machine learning', 'Predictive analytics', 'Quantitative analysis', 'AI', 'Python', 'Analytics']",[],"['Azure', 'Waterfall', 'Google Cloud Platform', 'AWS', 'Product management', 'Agile']"
96,Data Scientist,HCSC,119000.0,Richardson,TX,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Computer science', 'Machine learning', 'Data collection']",['Communication skills'],[]
97,Data Scientist,Halliburton,48000.0,Houston,TX,"[""Bachelor's degree""]",['Machine learning'],[],[]
98,Data Scientist,Healthcare Association of New York State,82500.0,Rensselaer,NY,[],"['SQL', 'Power Pivot']",[],[]
99,Data Scientist,Heirloom,152500.0,Brisbane,CA,[],"['Data mining', 'Go', 'Data analysis skills', 'SQL', 'C++', 'Database management', 'C', 'ETL', 'Data warehouse', 'Python']",['Communication skills'],[]
100,Data Scientist,Hendall Inc,116000.0,Rockville,MD,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['Data mining', 'SAS', 'R', 'Machine learning', 'Data management', 'Natural language processing', 'Data collection', 'AI', 'Python']",[],[]
101,Data Scientist,Home Partners of America Inc,98000.0,Chicago,IL,"[""Master's degree"", ""Bachelor's degree""]","['Microsoft Excel', 'Computer Science', 'NumPy', 'SQL', 'Pandas', 'Analysis skills', 'Machine learning', 'Scripting', 'Regression analysis', 'Python', 'Analytics']",['Communication skills'],['Management']
102,Data Scientist,IXIS Digital,125500.0,Burlington,VT,"['Bachelor of Science', ""Bachelor's degree"", 'Bachelor of Arts']","['Computer science', 'Computer Science', 'DevOps', 'R', 'Data analysis skills', 'SQL', 'Docker', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Predictive analytics', 'GitLab', 'Python', 'Analytics']",['Communication skills'],['AWS']
