web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676423251-694,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Jyl-Craven-Hair-Design/jobs/Social-Media-Specialist-9673e199a8bd88e9?fccid=35e99031c949723e&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Marketing,From $18 an hour
1676423251-695,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Jyl-Craven-Hair-Design/jobs/Social-Media-Specialist-9673e199a8bd88e9?fccid=35e99031c949723e&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Email marketing,From $18 an hour
1676423251-696,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Jyl-Craven-Hair-Design/jobs/Social-Media-Specialist-9673e199a8bd88e9?fccid=35e99031c949723e&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,MailChimp,From $18 an hour
1676423251-697,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Jyl-Craven-Hair-Design/jobs/Social-Media-Specialist-9673e199a8bd88e9?fccid=35e99031c949723e&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Social media marketing,From $18 an hour
1676423253-698,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Associate Ad Operations Specialist,https://www.indeed.com/rc/clk?jk=e5ceec17385e2e27&fccid=c1099851e9794854&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Associate Ad Operations Specialist,,null
1676423258-699,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/company/HOA.com/jobs/Digital-Marketing-Specialist-49126fd03b382150?fccid=7cf4b55c59c75cf4&vjs=3,4,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=30,Digital Marketing Specialist,Marketing,From $14 an hour
1676423258-700,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/company/HOA.com/jobs/Digital-Marketing-Specialist-49126fd03b382150?fccid=7cf4b55c59c75cf4&vjs=3,4,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=30,Digital Marketing Specialist,Search engines,From $14 an hour
1676423258-701,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/company/HOA.com/jobs/Digital-Marketing-Specialist-49126fd03b382150?fccid=7cf4b55c59c75cf4&vjs=3,4,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=30,Digital Marketing Specialist,Photography,From $14 an hour
1676423261-702,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing and Media Specialist,https://www.indeed.com/company/Messe-Frankfurt/jobs/Marketing-Media-Specialist-88a445717317908e?fccid=47973dd7aba21f0e&vjs=3,4,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=30,Marketing and Media Specialist,Marketing,"$40,000 - $45,000 a year"
1676423261-703,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing and Media Specialist,https://www.indeed.com/company/Messe-Frankfurt/jobs/Marketing-Media-Specialist-88a445717317908e?fccid=47973dd7aba21f0e&vjs=3,4,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=30,Marketing and Media Specialist,Adobe InDesign,"$40,000 - $45,000 a year"
